,ts,title
176,20070626,"Apple gives cost of iPhone service, first fans show up. Apple gives cost of iPhone service. Apple up after broker view, iPhone news. Apple says iPhone will be able to be activated at home without waiting in store while phone is activated; announces service plans. UPDATE1-RESEARCH ALERT-RBC starts Apple with outperform. Apple ups Balda orders for iPhone screens: paper"
177,20070627,
178,20070628,
179,20070629,"Apple iPhone launch draws gadget geeks, hired help. Apple giving free iPhones to employees"
180,20070630,AT&T; says almost sold out of Apple iPhones. Apple iPhone buyers gush as iWait ends
181,20070701,
182,20070702,"Apple falls, Sprint up after iPhone launch. Apple falls, Sprint up after iPhone launch. Apple sold 525,000 iPhones since launch: report. Apple shares up after iPhone debut. US STOCKS-Futures rise on telecoms takeovers, Apple gains"
183,20070703,"US STOCKS-Indexes end up in shortened session; Apple up. US STOCKS-Takeover talk, Apple lift stocks in short session. Apple iPhone margins 55 percent. Apple falls, Sprint up after iPhone launch"
184,20070704,
185,20070705,Apple shares at new high on iPhone sales prospects. O2 yet to get first bite at UK Apple deal. Apple shares at new high on iPhone sales prospects. US STOCKS-Economic data and Apple push Nasdaq higher. O2 yet to get first bite at UK Apple deal. Apple shares hit all-time high
186,20070706,Apple shares at new high on iPhone sales prospects. Apple shares at new high on iPhone sales prospects. Apple shares at new high on iPhone sales prospects. O2 yet to get first bite at UK Apple deal
187,20070707,
188,20070708,
189,20070709,"Apple plans cheaper, Nano-based phone: JP Morgan"
190,20070710,"Apple plans cheaper, Nano-based phone: JP Morgan"
191,20070711,
192,20070712,
193,20070713,
194,20070714,
195,20070715,
196,20070716,
197,20070717,
198,20070718,
199,20070719,
200,20070720,
201,20070721,
202,20070722,Apple results eyed for iPhone sales
203,20070723,"iPhone, Apple PCs vulnerable to hackers: consultant. UPDATE 2-iPhone, Apple PCs vulnerable to hackers-consultant. Apple results eyed for iPhone sales. Apple results eyed for iPhone sales"
204,20070724,"Apple falls on initial iPhone activation numbers. Hotelier Ian Schrager draws lessons from Apple. iPhone, Apple PCs vulnerable to hackers: consultant. CORRECTED: iPhone, Apple PCs vulnerable to hackers: consultant. Apple results eyed for iPhone sales. US STOCKS-Futures drop on profit concerns, Apple lower. Apple slips, AT&T; iPhone activations disappoint"
205,20070725,"Apple quarterly profit rises on Mac strength. Stocks gain on profits, energy; Apple up late. US STOCKS-Indexes gain on profits, energy; Apple up late. Apple reiterates 2008 iPhone sales target. Apple shares rise after initial decline. Apple says margins helped by cheaper components"
206,20070726,"Apple jumps with earnings, upgrades. Apple quarterly profit up on Mac strength. Apple quarterly profit rises on Mac strength. Stock futures point to upbeat techs after Apple. Apple quarterly profit rises on Mac strength"
207,20070727,Apple co-founder backs Internet video venture
208,20070728,
209,20070729,
210,20070730,Apple co-founder backs Internet video venture. SCO Group: Genisys Software chooses SCO Mobile to deliver enterprise vertical solutions to the Apple iPhone
211,20070731,Apple shares drop on production rumors. US STOCKS-Nasdaq falls 1 percent; Apple leads decliners. Apple says iTunes sales top 3 billion songs
212,20070801,Apple shares drop on production rumors
213,20070802,Microsoft and Apple renew font licensing agreement. Microsoft and Apple extend font licensing agreement
214,20070803,
215,20070804,
216,20070805,
217,20070806,
218,20070807,Apple unveils redesigned iMac. Apple unveils redesigned iMac
219,20070808,Apple unveils redesigned iMac desktop computers
220,20070809,
221,20070810,
222,20070811,
223,20070812,
224,20070813,
225,20070814,Apple to sell Lennon solo works on iTunes
226,20070815,Apple to sell Lennon solo works on iTunes
227,20070816,Apple to sell Lennon solo works on iTunes. Apple to sell Lennon solo works on iTunes. Apple shares fall 7 percent amid market declines
228,20070817,Apple shares fall 7 percent amid market declines
229,20070818,
230,20070819,
231,20070820,
232,20070821,"Apple iPhone sales could top 800,000: UBS"
233,20070822,"Apple iPhone sales could top 800,000: UBS"
234,20070823,
235,20070824,France Telecom confirms talks with Apple on iPhone
236,20070825,iTunes retail test in the cards for Apple
237,20070826,Digital music services try to nibble away at Apple. iTunes retail test in the cards for Apple
238,20070827,
239,20070828,Digital music services try to nibble away at Apple
240,20070829,"Apple seen revamping iPod line. Digital music services try to nibble away at Apple. Digital music services try to nibble away at Apple. Apple seen revamping iPod line. US STOCKS-Nasdaq gains more than 2 pct as Apple surges. US STOCKS-Nasdaq gains more than 2 pct as Apple surges. US STOCKS-Nasdaq gains more than 2 pct as Apple surges. US STOCKS-Techs lead Wall St rebound, Apple surges. Apple to launch iTunes TV service in UK. US STOCKS-Wall St bounces back after sell-off; Apple gains. US STOCKS-Wall St rebounds after sell-off; Apple up. Stocks rally 2 %; Apple shines"
241,20070830,"Apple seen revamping iPod line, shares up"
242,20070831,
243,20070901,
244,20070902,
245,20070903,
246,20070904,New iPods to help Apple counter rivals. New iPods to help Apple counter rivals. US STOCKS-Blue chips slip before ISM; Apple helps tech
247,20070905,"CORRECTION: New iPods to help Apple counter rivals. CORRECTED - New iPods to help Apple counter rivals. Apple cuts iPhone price and revamps iPods. Apple cuts iPhone price and revamps iPods. Apple in wireless music deal with Starbucks. Apple cuts iPhone price, on track with sales. Apple says to cut price of 8 gigabyte iPhone to $399 from $599. Apple confirms iPhone price at $399 for this holiday season; 4GB model will be sold while supplies last. Apple confirms music partnership with SBUX. Apple issues press releases confirming products that have been discussed at co's ""special event"". New iPod features fail to boost Apple. Apple to upgrade iPod line, nano gets video. New iPods to help Apple counter rivals. Big media seen playing hardball with Apple. Big media seen playing hardball with Apple. New iPods to help Apple counter rivals"
248,20070906,"Apple seeks to calm irate early iPhone buyers. Apple seeks to calm irate early iPhone buyers. Apple cuts iPhone price and revamps iPods. Global Equities cuts Apple to equal measure. Apple eyes higher sales, Europe with iPhone price cut"
249,20070907,InterDigital inks license deal with Apple. Apple seeks to calm irate early iPhone buyers. Apple cuts iPhone price and revamps iPods. Apple seeks to calm irate early iPhone buyers
250,20070908,
251,20070909,
252,20070910,"Apple sells one millionth iPhone. Apple shares rise after sells one millionth iPhone. US STOCKS-Indexes rise as Intel, Apple help techs. US STOCKS-Wall St. rises on positive news from Intel, Apple. US STOCKS-Wall St. set to rebound on Intel, Apple. Apple shares rise after sells 1 millionth iPhone. New Apple products, services on holiday horizon"
253,20070911,Apple sells one millionth iPhone. Apple sells one millionth iPhone; shares rise
254,20070912,UPDATE 1-RESEARCH ALERT-UBS ups Apple price target to $182
255,20070913,Apple calls on UK press as iPhone talk swirls
256,20070914,News Corp expects tough Apple negotiations. News Corp expects tough Apple negotiations
257,20070915,Small farm in the Big Apple
258,20070916,News Corp expects tough Apple negotiations
259,20070917,News Corp expects tough Apple negotiations
260,20070918,Apple chooses O2 as iPhone carrier in UK. Apple chooses O2 as exclusive carrier for iPhone in UK
261,20070919,"Apple to nearly double iPhone production: report. Apple defends iTunes in Berlin, Brussels. Apple lowers cost of iPod Nano parts: iSuppli. Apple and T-Mobile announce exclusive partnership for iPhone in Germany"
262,20070920,"Apple CEO subpoenaed in options case. UPDATE 1-Orange clinches French Apple iPhone deal. Apple defends iTunes in Berlin, Brussels"
263,20070921,Ramones member sues Apple and Wal-Mart. Apple CEO subpoenaed in options case. Apple CEO subpoenaed in options case
264,20070922,Ramones member sues Apple and Wal-Mart
265,20070923,Ramones member sues Apple and Wal-Mart
266,20070924,"Apple says unlocking software can damage iPhone. Apple releases statement on unauthorized iPhone unlocking, saying it causes irreparable damage to the iPhone's software. Apple stock hits new high after Citigroup ups target. Ramones member sues Apple and Wal-Mart. Vivendi calls Apple iTunes contract terms ""indecent"". UPDATE 1-RESEARCH ALERT-Citigroup raises Apple price target"
267,20070925,"Judge to order Apple to show option records: paper. Vivendi calls Apple iTunes contract terms ""indecent"". Apple says unlocking programs can damage iPhone"
268,20070926,"Vivendi calls Apple iTunes contract terms ""indecent"""
269,20070927,Apple and Orange at odds over iPhone deal:  report
270,20070928,Apple lowers costs of iPod Nano parts: iSuppli. iPod Nano commercial the Apple of singer Feist's eye. Apple hires general counsel from Oracle
271,20070929,
272,20070930,iPod Nano commercial the Apple of singer Feist's eye. iPod Nano commercial the Apple of singer Feist's eye
273,20071001,
274,20071002,
275,20071003,
276,20071004,UPDATE 1-RESEARCH ALERT-BMO starts Apple with outperform
277,20071005,
278,20071006,
279,20071007,
280,20071008,
281,20071009,
282,20071010,
283,20071011,Apple shares up on Goldman upgrade
284,20071012,UPDATE 1-RESEARCH ALERT-Morgan Stanley raises Apple price target
285,20071013,
286,20071014,
287,20071015,UPDATE 1-RESEARCH ALERT-Lehman ups Apple target price to $190
288,20071016,Apple cuts price on copy-free digital songs. Apple chooses Orange as exclusive carrier for iPhone in France. Apple starts accepting orders for Leopard. Apple to Ship Mac OS X Leopard on October 26
289,20071017,"Apple to allow outside applications on iPhone. Apple to allow outside applications on iPhone. Apple confirms D.R.M free tracks to sell at $0.99. Apple profit seen rising, stock topping out"
290,20071018,
291,20071019,CORRECTED - CORRECTED-UPDATE 1-RESEARCH ALERT-RBC raises Apple price target
292,20071020,
293,20071021,
294,20071022,"Apple results top targets, Mac sales strong. Apple results top targets, Mac sales strong. Stocks end up, Apple jumps after bell. US STOCKS-Techs lift Nasdaq; Apple jumps after bell. Apple sees ""favorable"" memory prices continuing. Apple to open 40 stores in coming year. Apple CFO sees Q1 gross margin at 31 pct. Apple shares climb on earnings. After the Bell-AT&T; gains after Apple earnings top views. Apple beats by $0.16, beats on revs; guides Q1 EPS above consensus, revs above consensus. US STOCKS-Tech shares lift market before Apple results"
295,20071023,Global shares rise on Apple. GLOBAL MARKETS-Stocks rise on Apple results; dollar slips. UPDATE 1-RESEARCH ALERT-Brokerages up Apple target. Copernic releases mobile update to include Apple iPhone optimization. Apple set to boost U.S. techs; investors await AT&T;. Asian shares cheer Apple
296,20071024,
297,20071025,
298,20071026,
299,20071027,
300,20071028,
301,20071029,
302,20071030,"Nasdaq 100/QQQQ rebounds back near unchanged-- AAPL +1%, GOOG +2%, NVDA +1.8%, KLAC +1%, AMAT +1.1%, SEPR +12%. Apple says sells two million copies of ""Leopard"". Apple sells 2 mln copies of Mac OS X Leopard in first weekend"
303,20071031,
304,20071101,
305,20071102,
306,20071103,
307,20071104,
308,20071105,
309,20071106,
310,20071107,"Apple tests/rebounding off Friday-Tuesday range top near 188.96-- session low 188.82. Nasdaq 100 the top performing index amid relative strength in AAPL +0.2%, RIMM +3.5%, GOOG +0.5%, INTC +0.07%"
311,20071108,Apple retesting morning low at 180.52
312,20071109,Apple fans brave rain for European iPhone launch
313,20071110,
314,20071111,
315,20071112,"US STOCKS-Dow rises on banks, oil; Apple drags tech"
316,20071113,"Big Apple grapples with multiple showbiz strikes. Big Apple grapples with multiple showbiz strikes. US STOCKS-Nasdaq gains 2 pct, led higher by Apple. US STOCKS-S&P; rises 1 pct, boosted by Wal-Mart, Apple"
317,20071114,Taiwan's Chunghwa in talks to sell Apple iPhones
318,20071115,
319,20071116,
320,20071117,
321,20071118,
322,20071119,
323,20071120,
324,20071121,
325,20071122,
326,20071123,
327,20071124,
328,20071125,
329,20071126,AT&T; Answers the Need for Speed in The Big Apple
330,20071127,Hilton Garden Inn(R) New York/Chelsea Opens in the Big Apple. Northern Lights From Canada Visible in Big Apple
331,20071128,
332,20071129,SonicWALL Internet Threat Prevention Provides Protection Against Exploits of Apple...
333,20071130," Drobo Storage Robot Now Available Direct From Apple. The Perfect Holiday Gift - Voice Control for Windows Vista Media Center, Apple iTunes.... Jaguar Launches First Broadband Multimedia Magazine for Apple iPhone"
334,20071201,
335,20071202,
336,20071203,"Klausner sues Apple iPhone over voicemail. Klausner sues Apple iPhone over voicemail patent. Apple Inc. Sued for Patent Infringement on iPhone by Klausner Technologies, Inc.. Apple to Open Retail Store on West 14th Street in New York City on Friday, December..."
337,20071204,"Apple Rush Company Announces 3Q 2007 Financials, Public Trading This Week. Medidata Solutions to Lead Session on Red Apple II at DIA European Validation Workshop.  Apple Patch Assisted Living Community to Use ALRT Constant Health Companion(TM) (CHC(TM)) System in All Their Homes"
338,20071205,"Nokia Goes Head to Head with Apple on Music and Lifestyle, Says Analysys"
339,20071206,"S'pore shops remove illegal iPhones after Apple threat: paper. Apple iPhone winning corporate fans despite flaws. Apple iPhone winning corporate fans despite flaws. New Apple store highlights ""geniuses,"" services. Apple Rush Company Begins Public Trading, Posts 2Q & 3Q 2007 Financials. The Apple Store West 14th Street to Open on Friday, December 7.  ICT Adds Apple iPhone to ""Cannes Project"" Voice and Data Platform"
340,20071207,"New Apple store highlights ""geniuses,"" services. USTelematics Announces Integration of Apple iTunes Music, Movie and TV Services into..."
341,20071208,
342,20071209,"New Apple store highlights ""geniuses,"" services"
343,20071210,
344,20071211,Raketu Releases New VoIP Calling Web Application for Apple iPhone and iPod Touch
345,20071212,"The Big Apple Turns Green for the Holidays, Kohler Saves Water at Charmin Holiday.... Apple Announces Hit Television Programming Now Available on the iTunes Store in Canada.  Peanut Labs Gen-Y Survey Finds Apple and HP Computers ""Must-Have"" Holiday Gifts"
346,20071213,Making Apple iPhones and iPods Work With Windows is Not as Merry as Many Christmas....  Mac Developer Alykhan Jetha Urges Apple to Reject Lure of Enterprise Computing.  Mac Developer Alykhan Jetha Urges Apple to Reject Lure of Enterprise Computing
347,20071214,WatchGuard Helps Protect Apple Users from Latest Java Exploit
348,20071215,
349,20071216,
350,20071217,"Apple launch of Leopard system its best ever: group. Apple launch of Leopard system its best ever-group. Apple TV Leads a Struggling Breed of Retail-Based Internet Video Devices, Says ABI....  WatchIt Technologies Terminates Big Apple Consulting"
351,20071218,Apple plays DoCoMo against Softbank over iPhone
352,20071219,
353,20071220,Apple shareholder lawsuit amended to add details. Popular Apple rumor Web site to shut down. Popular Apple rumor Web site to shut down
354,20071221,
355,20071222,
356,20071223,
357,20071224,
358,20071225,
359,20071226,
360,20071227,Apple and Fox plan movie rental deal: reports.  Big Apple Worldwide Subsidiary Revolutionizes Wallcovering Industry in 2007
361,20071228,Apple and Fox plan movie rental deal: reports. Apple and Fox plan movie rental deal: reports. Apple and Fox plan movie rental deal: reports
362,20071229,
363,20071230,Apple and Fox plan movie rental deal: reports
364,20071231,Apple and Fox plan movie rental deal: reports
365,20080101,
366,20080102,
367,20080103,Sew Fabulous! Wanna-Be Teen Fashion Designers Set Their Sights on the Big Apple. UPDATE 1-RESEARCH ALERT-Needham starts Apple at buy
368,20080104,
369,20080105,
370,20080106,
371,20080107,FlyTunes(TM) Announces New Digital Music Service for Apple iPhone
372,20080108,"Apple says shipping new Mac Pro, Xserve server. Apple Rush Grows With Five New Distributor Appointments. Apple seen set to resolve EU iTunes case.  Big Apple Worldwide Subsidiary to Showcase ""No More Books"" Technology to 140,000 Attendees at 2008 International CES. Apple Introduces New Xserve - Most Powerful Apple Server Ever. Apple Introduces New Mac Pro. Apple set to resolve EU iTunes case -sources"
373,20080109," Big Apple Worldwide Subsidiary Takes ""No More Books"" to World's Largest Textile Show. Apple to charge same for downloads across Europe-EU. Nexsan Introduces First High Density, Energy Efficient Storage for Apple Xserve Market,.... Apple set to resolve EU iTunes case -sources"
374,20080110,Slim Apple laptop expected at Macworld. Akamai shares down on speculation Apple deal over
375,20080111,Sierra Sound Ships Smart Speakers with New Apple Authentication Chip. Slim Apple laptop expected at Macworld
376,20080112,
377,20080113,
378,20080114,"ProClip USA Introduces New In-Vehicle Device Holders, for Apple iPhone, iPod Touch,....  Cymtec Systems Campaigns to Stop Network Clog With Free Apple iPod(R). Slim Apple laptop expected at Macworld"
379,20080115,"Apple shows high-def Apple TV, focus on movies. Apple says has sold 4 million iPhones. Jaman CEO Issues Statement on Apple and Netflix Announcements. Apple launches Web movie rentals, thin laptop. ""Real Housewives"" goes Big Apple. Apple shows high-def Apple TV, focus on movies. Apple says has sold 4 million iPhones. Apple Introduces MacBook Air - The World's Thinnest Notebook. Twentieth Century Fox & Apple Introduce iTunes Digital Copy. Slim Apple laptop expected at Macworld. Apple Introduces New Apple TV Software & Lowers Price to $229. Apple Premieres iTunes Movie Rentals With All Major Film Studios. Apple Announces Major Software Upgrade for iPod touch. Apple Enhances Revolutionary iPhone With Software Update. Apple Announces Time Capsule. Printroom Accelerates Photo Sales for Pro Photographers With New Apple Plug-ins and....  WebEx PCNow Provides Remote Access for the Apple Mac. DriveSavers First to Offer Data Recovery Services for Apple iPhone. Apple launches web movie rentals"
